domain_id,top_words
MLB-CARS_AND_VANS,4x4 manual 8v volkswagen chevrolet aut 16v gasolina total flex aut 4p flex 5p gasolina 4p
MLB-SNEAKERS,mizuno converse casual olympikus nike sapatênis tênis olympikus tênis mizuno tênis adidas tênis infantil nike air
MLB-TV_REPLACEMENT_BACKLIGHT_LED_STRIPS,32la613b 39lb5600 39ln5400 39ln5700 42lb5600 32l2400 barramento led barras leds completo barras leds tv led lg
MLB-AUTOMOTIVE_TAIL_LIGHTS,lanternas fitam circuito tricolor sinaleira bicolor traseira siena lanterna fiesta 2012 bicolor circuito soquete traseira gol
MLB-AUTOMOTIVE_DEGREASERS,j50 concentrados multilimpador sintra detersid protelim spray limpeza protelim prot limpa rodas detergente desengraxante litros limpeza
MLB-ACTION_FIGURES,cloth burst marvel bandai action beyblade marvel legends dragon ball pop funko boneco luccas hot toys
MLB-MUSIC_ALBUMS,vinil digipack maiden roberto engenheiros sucessos lp disco cristina mel trilha sonora engenheiros hawaii lp roberto
MLB-BOOKS,pentecostal índice letra biblia estudo harpa gigante harpa biblia sagrada capa dura king james sagrada letra
MLB-LAMINATING_ROLLS_AND_POUCHES,plastificar laminação cpf 05mm 220x307mm 220x307 plastificação 05mm 220x307x0 05mm plásticos polaseal a4 220x307 polaseal a4
MLB-TOYS_AND_GAMES,arma slimes nerf isa brinquedo massinha mini motos elétrica infantil slime premium moto elétrica kit slime
MLB-INDOOR_CURTAINS_AND_BLINDS,voal sala 00x2 quarto blecaute persiana varão simples cortina corta cortina voil 00x2 80 blackout tecido
MLB-CPAP_MACHINES,dreamwear traqueia dreamstation autoset bipap respironics eletrônico micro ronco cpap philips respironics resmed umidificador cpap airsense
MLB-VEHICLE_PARTS,porta alavanca batente trizeta maçaneta tampão porta malas reparo trambulador porta dianteira tampão bagagito adesivo soleira
MLB-CAR_SEAT_COVERS,específica ecológico carro capa automotivos courvin bancos automotivos carro 100 100 couro capa bancos capas banco
MLB-STORAGE_DRAWERS,gaveteiros colméias gavetões politorno gávea 42l branco rodízio gaveteiro quarto volante gavetas color gv madesa tutti
MLB-CELLPHONES,sim celular global 128gb xiaomi smartphone smartphone samsung 4gb ram 64gb 4gb 64 gb redmi note
MLB-SOUVENIRS,cofrinho lembrança cofrinhos tubetes personalizados personalizar lembrancinha personalizada maternidade chá mdf cru lembrancinha chá lembrancinha casamento
MLB-FOG_LIGHTS,hella daylight par 42w 27w fortluz farol neblina milha corsa milha palio farol auxiliar par farol
MLB-SPEAKERS,fm passiva speaker caixinha ativa jbl bluetooth amplificada bluetooth portátil amplificada bluetooth portátil bluetooth som jbl
MLB-TV_STORAGE_UNITS,ores raque cinamomo home livin polegadas 60 polegadas home suspenso 55 polegadas tv 50 tv 60
MLB-PRECIOUS_AND_SEMI_PRECIOUS_STONES,ametista turmalina preciosas bruto pirita rolada cristal quartzo pedras brasileiras drusa ametista opala matriz kg turmalina
MLB-HIP_SCARVES,arabe dancer moedas scarf danças cigana dança cigana cigana dança ventre indiana cinto moedas ventre cigana
MLB-DRILLS_SCREWDRIVERS,hp331 dewalt gsr1000 pfv012 deko impacto furadeira elétrica parafusadeira 20v furadeira impacto parafusadeira bateria furadeira 12v
MLB-NAIL_FILES,unhas brocas bananão opi beltec polidora profissional bloco 50 lixas opi 100 lixas opi refil lixa
MLB-T_SHIRTS,oversized look camisas cropped raglan regata 10 camisetas camiseta regata kit camiseta camisa blusa camiseta infantil
MLB-VEHICLE_LED_BULBS,canbus xenon h11 led t10 h7 alto baixo lampadas led milha 6000k placa ré teto placa
MLB-CUSHIONS,ecaza emoticon pipoca decorativas 45x45 futton cheias estampada balde copos decorativas cheias almofada futon almofadas cheias
MLB-PENDRIVES,microdrive dt100 dt50 z33 datatraveler sandisk 10 pen pendrive sandisk cruzer fit cruzer blade sandisk cruzer
MLB-TRUMPETS,hoyden 2335 laqueado weril triunfal sib si bemol laqueado tr504 hoyden htr trompete triunfal trompete pocket
MLB-RAM_MEMORY_MODULES,fury hyperx 1333mhz 2400mhz 1600mhz kingston ddr4 2400mhz 1600 mhz memoria kingston memoria notebook ddr3 4gb
